username,follower_to_following_ratio,stars_per_repository,fork_to_repo_ratio,open_issues_per_repo,code_to_profile_age_ratio,push_to_total_events_ratio,repos_per_year,days_since_last_api_activity,days_since_last_code_push,average_days_between_events,profile_staleness_days,total_community_validation_count,total_starred_by_user,total_organization_connections,aggregate_codebase_footprint_kb,distinct_event_types_count,has_no_repos,is_b2b_affiliated,has_invested_profile,is_actively_hireable,has_external_gists,churned
RailsAddict,9.0,2.0,0.0,0.0,0.00014934289127837514,0.0,0.05454749103942652,9999.0,6478.0,6696.0,1930.0,2.0,1.0,0.0,80.0,0.0,0,0,0,0,0,1
scharfie,5.428571428571429,1.3070175438596492,0.7192982456140351,0.14035087719298245,0.017025089605734768,0.0,6.218413978494624,13.0,318.0,6696.0,181.0,149.0,200.0,0.0,282475.0,1.0,0,0,0,0,1,1
jhardy-deleteme,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,6696.0,4084.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
daikini,37.0,4.696969696969697,0.5454545454545454,0.21212121212121213,0.00492831541218638,0.0,1.8000672043010753,9999.0,1200.0,6696.0,21.0,155.0,200.0,1.0,445811.0,0.0,0,1,0,1,1,1
tdreyno,418.0,16.0,0.08163265306122448,1.836734693877551,0.007317801672640382,0.581081081081081,2.6728270609319,3.0,2.0,90.48648648648648,84.0,784.0,24.0,1.0,126405.0,5.0,0,1,0,0,1,0
ryenski,0.9180327868852459,1.4946236559139785,0.7526881720430108,0.010752688172043012,0.013888888888888888,0.20555555555555555,5.072916666666667,0.0,4.0,37.2,2.0,139.0,200.0,2.0,959586.0,8.0,0,1,0,1,1,0
jnunemaker,7.249110320284697,122.41558441558442,0.2987012987012987,1.3766233766233766,0.011499402628434886,0.19230769230769232,4.200156810035843,6.0,23.0,257.53846153846155,3.0,9426.0,200.0,1.0,57448.0,6.0,0,1,1,0,1,0
shayarnett,3.891891891891892,1.196078431372549,0.7843137254901961,0.0,0.02858744394618834,0.0,10.441563901345292,9999.0,87.0,1784.0,101.0,61.0,7.0,0.0,569300.0,0.0,0,0,0,0,1,0
chad,10.747252747252746,7.833333333333333,0.4824561403508772,0.868421052631579,0.017025089605734768,0.8865248226950354,6.218413978494624,0.0,0.0,47.48936170212766,2.0,893.0,131.0,0.0,1019518.0,4.0,0,0,1,0,1,0
superphly,3.0,0.16666666666666666,0.3888888888888889,0.16666666666666666,0.002688172043010753,0.0,0.9818548387096774,14.0,874.0,6696.0,17.0,3.0,29.0,1.0,195496.0,1.0,0,1,0,1,1,1
swhitt,1.3214285714285714,1.9333333333333333,0.26666666666666666,0.1,0.004480286738351254,0.9705882352941176,1.6364247311827957,0.0,0.0,39.38823529411765,2.0,58.0,89.0,0.0,482471.0,4.0,0,0,0,0,1,0
bryanl,81.28571428571429,1.8425196850393701,0.4921259842519685,0.4763779527559055,0.03793309438470729,0.0,13.855062724014337,9999.0,99.0,6696.0,230.0,468.0,147.0,2.0,3077066.0,0.0,0,1,0,1,1,0
